"NYS Board of Elections President and Vice-President Election Returns Nov. 6, 2012",,,,,,,,,,,"NYS Board of Elections President and Vice-President Election Returns Nov. 6, 2012",,,,,,,,,,,,,,,
"DATED:  August 28, 2013      ( Kings* update June 9, 2013)  (New York* updated August 28, 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
County,Obama   Biden,Romney    Ryan,Romney    Ryan,Obama   Biden,Stein   Honkala,Lindsay  Osorio,Johnson             Gray,Goode    Clymer,,,County,Ross C. Anderson,Avery L. Ayers,Will Christensen,Stephen Durham,James Harris,Tom Hoefling,Merlin Miller,Jill Reed,Kevin Thorne,Jerry White,Blank,Void,Scattering,BVS Subtotal,Total
,DEM,REP,CON,WOR,GRN,PSL,LBT,CST,,,,Official Presidential Write-In Candidates,,,,,,,,,,,,,,
 Wayne,"15,732","17,248","2,812",903,222,15,424,83,,, Wayne,0,0,0,0,0,0,0,0,0,0,198,57,108,363,"37,802"
 Westchester,"234,778","131,139","11,983","6,007","1,627",76,"2,042",228,,, Westchester,0,0,0,2,0,2,0,2,0,0,"3,465",0,561,"4,026","391,912"
 Wyoming,"5,357","9,248","1,100",304,96,6,135,55,,, Wyoming,0,0,0,0,0,0,0,0,0,0,77,4,34,115,"16,416"
 Yates,"4,259","4,269",529,229,67,3,69,17,,, Yates,0,0,0,0,0,0,0,0,0,0,57,15,0,72,"9,514"
Total Outside NYC,"2,391,747","1,826,581","226,961","98,753","27,953","1,267","37,770","5,396",,,Total Outside NYC,66,0,0,3,4,33,3,9,0,7,"33,354","4,250","6,970","44,574","4,661,127"
 Bronx,"334,642","26,682","3,285","4,569",774,105,608,122,,, Bronx,6,0,0,1,6,0,0,2,0,1,"2,834",0,135,"2,969","373,772"
 Kings *,"585,491","113,752","10,799","18,952","4,411",219,"2,500",276,,, Kings *,53,0,0,9,3,0,0,0,0,7,"4,546",0,510,"5,056","741,528"
 New York*,"488,670","85,256","4,314","14,042","3,860",230,"3,105",146,,, New York*,73,0,0,17,13,0,3,0,0,3,"3,599",0,616,"4,215","603,947"
 Queens,"461,545","108,881","9,708","9,187","2,465",183,"2,375",254,,, Queens,12,0,0,3,1,1,0,0,0,0,"4,763",0,630,"5,393","600,008"
 Richmond,"75,565","66,919","7,304","2,616",519,46,899,80,,, Richmond,7,0,0,1,0,0,0,1,0,1,819,0,222,"1,041","154,999"
Total NYC,"1,945,913","401,490","35,410","49,366","12,029",783,"9,487",878,,,Total NYC,151,0,0,31,23,1,3,3,0,12,"16,561",0,"2,113","18,674","2,474,254"
Statewide Total,"4,337,660","2,228,071","262,371","148,119","39,982","2,050","47,257","6,274",,,Statewide Total,217,0,0,34,27,34,6,12,0,19,"49,915","4,250","9,083","63,248","7,135,381"
,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAP,"4,485,779","2,490,442",,,"39,982","2,050","47,257","6,274",,,RECAP,217,0,0,34,27,34,6,12,0,19,,,,,
